timestamp,function_name,duration,memory_used,num_api_calls,error_count,concurrency,ip_address,ttl,packet_size_in,packet_size_out,latency,fragment_count,source_port,status_code,label,attack_type
2026-03-17T17:00:39.201011,db-query,418.76,110.67,1,0,1,192.168.1.45,64,913,375,9.02,0,59650,200,normal,
2026-03-17T17:00:47.201011,db-query,552.53,149.88,3,0,1,192.168.1.35,128,845,181,32.22,0,62392,200,normal,
2026-03-17T17:00:50.201011,db-query,491.9,91.91,2,0,1,192.168.1.29,64,1020,489,36.03,0,63881,200,normal,
2026-03-17T17:00:54.201011,file-processor,345.58,92.71,2,0,1,192.168.1.46,64,751,372,19.96,0,51979,200,normal,
2026-03-17T17:01:12.201011,db-query,627.2,64.5,2,0,1,192.168.1.37,128,929,134,44.77,0,60592,200,normal,
2026-03-17T17:01:42.201011,file-processor,505.83,121.67,2,0,1,192.168.1.4,64,661,370,6.0,0,52819,200,normal,
2026-03-17T17:02:04.201011,db-query,329.35,131.62,2,0,1,192.168.1.36,64,411,335,30.54,0,56285,200,normal,
2026-03-17T17:02:29.201011,api-handler,335.19,127.49,1,0,1,192.168.1.12,128,386,366,32.75,0,50671,200,normal,
2026-03-17T17:02:33.201011,file-processor,389.98,171.14,3,0,1,192.168.1.22,128,917,337,18.3,0,53287,200,normal,
2026-03-17T17:02:57.201011,db-query,245.04,76.48,3,0,1,192.168.1.25,128,627,303,17.21,0,65221,200,normal,
2026-03-17T17:03:09.201011,auth-service,788.86,149.34,1,0,1,192.168.1.20,64,991,481,49.19,0,49899,200,normal,
2026-03-17T17:03:38.201011,file-processor,125.97,108.89,3,0,1,192.168.1.37,128,269,207,48.7,0,50317,200,normal,
2026-03-17T17:04:01.201011,file-processor,153.61,152.29,3,0,1,192.168.1.46,64,690,145,35.3,0,50254,200,normal,
2026-03-17T17:04:10.201011,file-processor,444.69,78.96,2,0,1,192.168.1.20,128,268,321,25.36,0,55792,200,normal,
2026-03-17T17:04:20.201011,db-query,467.34,118.5,3,0,1,192.168.1.50,64,964,168,46.14,0,65434,200,normal,
2026-03-17T17:04:43.201011,auth-service,791.79,90.0,2,0,1,192.168.1.24,128,634,387,10.26,0,53954,200,normal,
2026-03-17T17:05:09.201011,db-query,77.91,135.58,3,0,1,192.168.1.23,64,579,198,16.34,0,56756,200,normal,
2026-03-17T17:05:25.201011,api-handler,350.5,152.56,3,0,1,192.168.1.16,64,807,332,31.45,0,62012,200,normal,
2026-03-17T17:05:37.201011,db-query,568.93,77.71,2,0,1,192.168.1.30,64,720,480,19.73,0,53155,200,normal,
2026-03-17T17:05:50.201011,auth-service,372.37,143.91,1,0,1,192.168.1.30,64,824,382,37.81,0,60803,200,normal,
2026-03-17T17:05:55.201011,db-query,616.43,90.05,2,0,1,192.168.1.19,64,449,150,49.82,0,57947,200,normal,
2026-03-17T17:06:03.201011,auth-service,388.4,173.67,1,0,1,192.168.1.13,64,908,434,20.29,0,55172,200,normal,
2026-03-17T17:06:10.201011,api-handler,768.8,166.87,1,0,1,192.168.1.18,64,439,492,7.21,0,51888,200,normal,
2026-03-17T17:06:23.201011,file-processor,505.34,138.22,1,0,1,192.168.1.29,64,398,393,37.85,0,55095,200,normal,
2026-03-17T17:06:26.201011,api-handler,112.42,85.24,1,0,1,192.168.1.9,128,626,237,46.04,0,53126,200,normal,
2026-03-17T17:06:50.201011,api-handler,473.46,158.55,2,0,1,192.168.1.49,64,270,248,8.4,0,49231,200,normal,
2026-03-17T17:06:53.201011,api-handler,650.1,148.19,2,0,1,192.168.1.15,64,767,332,48.2,0,64850,200,normal,
2026-03-17T17:06:58.201011,auth-service,116.18,110.05,1,0,1,192.168.1.25,64,836,447,47.57,0,64563,200,normal,
2026-03-17T17:07:02.201011,api-handler,516.94,84.16,2,0,1,192.168.1.40,64,307,314,23.96,0,61273,200,normal,
